Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36634904,"Storm Glass (Harbinger, #1)",Jeff Wheeler,"Wheeler, Jeff",,"=""1503957330""","=""9781503957336""",4,4.20,47North,Kindle Edition,367,2018,2018,2019/11/20,2019/11/10,,,read,,,,1,0
13616278,"The Red Knight (The Traitor Son Cycle, #1)",Miles  Cameron,"Cameron, Miles",,"=""0575113294""","=""9780575113299""",0,4.10,Gollancz,Paperback,650,2012,2012,,2019/12/31,to-read,to-read (#19),to-read,,,,0,0
43606383,"Age of Legend (The Legends of the First Empire, #4)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""""","=""""",3,4.35,"Riyria Enterprises, LLC",Kindle Edition,361,2019,2019,2019/10/25,2019/10/08,,,read,,,,1,0
29508057,The Obelisk Gate,N.K. Jemisin,"Jemisin, N.K.",,"=""0356504891""","=""9780356504896""",4,4.30,Orbit,Kindle Edition,448,2016,2016,2019/10/31,2019/10/31,,,read,,,,1,0
33314081,The Stone Sky,N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.34,Orbit,Kindle Edition,464,2017,2017,2019/10/31,2019/08/12,,,read,,,,1,0
45302127,"The Burning White (Lightbringer, #5)",Brent Weeks,"Weeks, Brent",,"=""""","=""""",4,4.26,Orbit,Kindle Edition,993,2019,2019,2019/10/31,2019/10/25,,,read,,,,1,0
45709712,"Dungeon Desolation (The Divine Dungeon, #4)",Dakota Krout,"Krout, Dakota",,"=""1950914038""","=""9781950914036""",3,4.23,Mountaindale Press,Kindle Edition,376,2019,2018,2019/06/14,2019/06/12,,,read,,,,1,0
45712249,"Dungeon Calamity (The Divine Dungeon, #3)",Dakota Krout,"Krout, Dakota",,"=""195091402X""","=""9781950914029""",3,4.34,Mountaindale Press,Kindle Edition,402,2019,2017,2019/06/12,2019/06/10,,,read,,,,1,0
45711039,"Dungeon Madness (The Divine Dungeon, #2)",Dakota Krout,"Krout, Dakota",,"=""1950914011""","=""9781950914012""",4,4.33,Mountaindale Press,Kindle Edition,388,2019,2017,2019/06/10,2019/06/09,,,read,,,,1,0
45712252,"Dungeon Born (The Divine Dungeon, #1)",Dakota Krout,"Krout, Dakota",,"=""1950914003""","=""9781950914005""",4,4.21,Mountaindale Press,Kindle Edition,370,2019,2016,2019/06/09,2019/06/06,,,read,,,,1,0
45714788,"Dungeon Eternium (The Divine Dungeon, #5)",Dakota Krout,"Krout, Dakota",,"=""1950914046""","=""9781950914043""",2,4.16,Mountaindale Press,Kindle Edition,328,2019,2019,2019/06/16,2019/06/14,,,read,,,,1,0
25194939,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.30,Orbit,Kindle Edition,496,2015,2015,2019/06/23,2016/08/21,,,read,,,,1,0
